image_id,class_id,super_class_id,path,image_path,source_split
63528,11876,1,bicycle_final/400957457012_7.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/400957457012_7.JPG,test
14165,2340,3,chair_final/191426338191_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/chair_final/191426338191_0.JPG,train
51650,9637,11,table_final/141495821613_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/table_final/141495821613_1.JPG,train
8031,1254,2,cabinet_final/181799278860_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/cabinet_final/181799278860_1.JPG,train
84879,15639,6,kettle_final/252060613060_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/kettle_final/252060613060_2.JPG,test
72637,13364,3,chair_final/291302423525_7.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/chair_final/291302423525_7.JPG,test
66411,12354,2,cabinet_final/281757469416_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/cabinet_final/281757469416_3.JPG,test
19589,3360,4,coffee_maker_final/181833406743_7.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/coffee_maker_final/181833406743_7.JPG,train
118814,22369,12,toaster_final/331614443684_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/toaster_final/331614443684_2.JPG,test
48763,9014,10,stapler_final/200818435011_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/stapler_final/200818435011_1.JPG,train
22587,3895,5,fan_final/161785475844_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/fan_final/161785475844_1.JPG,train
47484,8762,10,stapler_final/161783457132_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/stapler_final/161783457132_4.JPG,train
101009,18603,8,mug_final/351407999620_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/mug_final/351407999620_0.JPG,test
100308,18462,8,mug_final/321819933675_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/mug_final/321819933675_0.JPG,test
76629,14083,4,coffee_maker_final/231654985863_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/coffee_maker_final/231654985863_1.JPG,test
33262,5840,7,lamp_final/181820552326_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/lamp_final/181820552326_3.JPG,train
116586,21931,12,toaster_final/261975196089_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/toaster_final/261975196089_1.JPG,test
102866,18987,9,sofa_final/251637633892_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/sofa_final/251637633892_1.JPG,test
48649,8994,10,stapler_final/191642891532_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/stapler_final/191642891532_1.JPG,train
