image_id,class_id,super_class_id,path,image_path,source_split,exists,blur_score,jpeg_score,blur_flag,jpeg_flag
1,1,1,bicycle_final/111085122871_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111085122871_0.JPG,train,True,196.75783953625017,5.481757164001465,False,False
36,6,1,bicycle_final/111476691561_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111476691561_4.JPG,train,True,130.84283463526256,4.673214912414551,False,False
65,11,1,bicycle_final/111588452395_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111588452395_2.JPG,train,True,104.33792465555835,4.618091106414795,False,False
70,13,1,bicycle_final/111611735309_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111611735309_1.JPG,train,True,162.65038458016215,3.7062392234802246,False,False
76,14,1,bicycle_final/111612717975_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111612717975_4.JPG,train,True,134.39071649312973,4.504029273986816,False,False
86,16,1,bicycle_final/111645993618_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111645993618_2.JPG,train,True,81.00617408743346,2.7439022064208984,False,False
92,17,1,bicycle_final/111646738161_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111646738161_4.JPG,train,True,129.483836429124,3.816070556640625,False,False
110,21,1,bicycle_final/111666161509_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111666161509_1.JPG,train,True,199.35380930857718,4.077194690704346,False,False
112,22,1,bicycle_final/111672542907_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111672542907_1.JPG,train,True,124.42581271528485,3.242506504058838,False,False
116,23,1,bicycle_final/111678374084_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111678374084_3.JPG,train,True,475.429020722241,7.572579383850098,False,False
135,26,1,bicycle_final/111693649069_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111693649069_2.JPG,train,True,80.05631441943115,3.4311907291412354,False,False
141,27,1,bicycle_final/111699218787_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699218787_3.JPG,train,True,133.53033628441335,3.5471556186676025,False,False
142,28,1,bicycle_final/111699241031_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699241031_0.JPG,train,True,173.0784902571527,5.295106410980225,False,False
151,29,1,bicycle_final/111699316376_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699316376_4.JPG,train,True,157.63658347371705,5.228567123413086,False,False
161,31,1,bicycle_final/111699866974_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699866974_3.JPG,train,True,62.26773261758717,2.3931355476379395,False,False
166,33,1,bicycle_final/111702172753_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111702172753_0.JPG,train,True,108.64548769278792,3.3840620517730713,False,False
175,35,1,bicycle_final/111705341883_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111705341883_1.JPG,train,True,151.02473790243675,4.288508892059326,False,False
184,36,1,bicycle_final/111708744044_6.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111708744044_6.JPG,train,True,99.53350206977775,4.171919345855713,False,False
195,38,1,bicycle_final/111708813226_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111708813226_1.JPG,train,True,293.7433435270148,6.642494201660156,False,False
199,39,1,bicycle_final/111716182399_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111716182399_0.JPG,train,True,103.97192489130572,4.249926567077637,False,False
237,43,1,bicycle_final/111719771857_9.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111719771857_9.JPG,train,True,69.92785805888103,2.5347506999969482,False,False
269,47,1,bicycle_final/111727186977_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111727186977_2.JPG,train,True,255.09484672546387,3.932055950164795,False,False
271,48,1,bicycle_final/111727842716_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111727842716_1.JPG,train,True,468.89766590667153,8.431878089904785,False,True
314,55,1,bicycle_final/111729445076_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111729445076_0.JPG,train,True,372.28309121392215,7.614380359649658,False,False
326,57,1,bicycle_final/111730020902_10.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730020902_10.JPG,train,True,124.87237466399937,5.3621015548706055,False,False
340,58,1,bicycle_final/111730085516_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730085516_4.JPG,train,True,227.884187480087,5.214677333831787,False,False
345,59,1,bicycle_final/111730103106_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730103106_3.JPG,train,True,104.35464270299053,2.7920422554016113,False,False
366,62,1,bicycle_final/111730975890_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730975890_3.JPG,train,True,100.31227617182431,3.105227470397949,False,False
374,64,1,bicycle_final/111731808842_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111731808842_2.JPG,train,True,441.31368253998363,7.254356861114502,False,False
379,65,1,bicycle_final/111732264207_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111732264207_4.JPG,train,True,450.23436427354414,9.327291488647461,False,True
402,68,1,bicycle_final/111733161917_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733161917_4.JPG,train,True,109.12704253151915,3.7555038928985596,False,False
408,69,1,bicycle_final/111733200630_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733200630_3.JPG,train,True,30.140146479363345,2.055608034133911,True,False
418,70,1,bicycle_final/111733215174_7.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733215174_7.JPG,train,True,992.5491221393396,14.066673278808594,False,True
436,72,1,bicycle_final/111733317230_9.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733317230_9.JPG,train,True,16.837134720796996,2.0890955924987793,True,False
473,76,1,bicycle_final/121080403828_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121080403828_5.JPG,train,True,263.58726409120743,4.322614669799805,False,False
476,77,1,bicycle_final/121080408660_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121080408660_0.JPG,train,True,504.0043291700841,6.722572326660156,False,False
488,78,1,bicycle_final/121104021310_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121104021310_5.JPG,train,True,219.0378097616976,5.987098693847656,False,False
499,80,1,bicycle_final/121262507781_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121262507781_1.JPG,train,True,204.92334405723486,5.703977584838867,False,False
510,83,1,bicycle_final/121540328965_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121540328965_0.JPG,train,True,40.597310872862856,3.0344486236572266,True,False
513,84,1,bicycle_final/121551658211_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121551658211_1.JPG,train,True,214.5896974599127,4.689445495605469,False,False
